MSOA21CD,%_not deprived,%_deprived-1,%_deprived-2,%_deprived-3,%_deprived-4
E02000418,55.955441302485006,27.292202227934876,9.21165381319623,2.0137103684661524,0.12853470437017994
E02000419,37.72545090180361,31.613226452905813,15.581162324649297,5.260521042084168,1.1272545090180361
E02000420,33.82658359293873,31.542056074766357,17.73104880581516,5.529595015576324,0.5711318795430945
E02000421,30.843869450161716,33.69597177300794,20.4645692443399,6.8215230814466326,0.4998529844163481
E02000422,32.130309805174065,35.00479080166081,18.52443308847014,5.908655381667199,0.6387735547748323
E02000423,40.87048832271763,31.67020523708422,15.6758669497523,5.874026893135174,0.46001415428167025
E02000424,49.84404242046163,27.729257641921397,11.603243917654398,3.680598877105427,0.21834061135371177
E02000425,31.072026800670017,36.85092127303183,16.917922948073702,4.899497487437186,0.8375209380234505
E02000426,53.590425531914896,25.43218085106383,9.175531914893616,2.859042553191489,0.09973404255319149
E02000427,42.49190938511327,31.68284789644013,14.077669902912621,3.9482200647249193,0.5825242718446602
E02000428,29.562737642585553,34.79087452471482,20.975918884664132,6.8757921419518375,0.38022813688212925
E02000429,54.568965517241374,27.52873563218391,7.7298850574712645,1.9827586206896552,0.1724137931034483
E02000430,51.534420790710534,26.900746474979265,8.460049764998617,2.598838816698922,0.27647221454243853
E02000431,54.438601917723474,24.311784720074233,7.268790596968759,1.7321373337457469,0.24744819053510672
E02000432,46.666666666666664,28.169934640522875,11.862745098039214,4.379084967320261,0.39215686274509803
E02006794,26.688388625592417,35.33767772511848,22.541469194312796,7.197867298578199,0.8590047393364929
E02000433,45.094102885821826,28.958594730238396,11.593475533249686,2.986198243412798,0.301129234629862
E02000434,49.727767695099814,29.764065335753177,11.511537464350532,2.955665024630542,0.3629764065335753
E02000435,42.67343485617597,32.31810490693739,15.939086294416244,4.060913705583756,0.1692047377326565
E02000436,57.674199623352166,29.284369114877588,7.862523540489643,1.3653483992467044,0.047080979284369114
E02000437,43.11955168119552,35.70983810709838,13.947696139476962,3.1755915317559156,0.21793275217932753
E02000438,43.62946569712298,33.955105912108756,15.143850774581095,3.2564021498577302,0.2213088839709137
E02000439,39.44840409048652,34.180353269290364,13.634955066625349,3.780601177564301,0.30988534242330334
E02000440,53.2954903815831,31.346578366445915,9.965310627562284,1.4506464837590665,0.1892147587511826
E02000441,48.60733695652174,30.5366847826087,12.635869565217392,3.0230978260869565,0.06793478260869565
E02000442,39.07880532565671,38.10723281756027,15.68909679740914,2.914717524289313,0.17992083483267363
E02000443,38.99892933618844,34.68950749464668,16.167023554603855,4.416488222698073,0.6423982869379015
E02000444,46.331767256956994,34.983736899168775,12.938200216841345,2.168413444163354,0.14456089627755692
E02000445,38.64087301587302,34.64781746031746,16.865079365079367,4.166666666666666,0.42162698412698413
E02000447,52.31694375663247,32.11885390873718,10.328970640254687,2.157764414573753,0.17686593562079944
E02000448,54.33743169398907,28.893442622950822,8.5724043715847,1.9808743169398908,0.44398907103825136
E02000449,39.50995405819295,37.09800918836141,15.773353751914243,4.134762633996937,0.19142419601837674
E02000451,56.476897689768975,30.528052805280524,8.085808580858085,0.9075907590759077,0.08250825082508251
E02000452,42.35702832709781,32.46926777124533,13.789417423837518,3.3671833244254405,0.18706574024585784
E02000453,46.88463911165947,32.57248611967921,11.381863047501541,2.7760641579272054,0.3701418877236274
E02000454,61.07046592221794,27.724297266076242,7.50866384289565,0.8086253369272237,0.0
E02000455,45.94695554725439,28.59544265969369,11.449383638401194,2.577512140455734,0.31751961150541647
E02000456,44.285714285714285,34.214285714285715,14.464285714285715,3.8214285714285716,0.25
E02000457,47.734686480608914,32.29430953243929,10.438564697354114,2.2109459949256975,0.21747009786154403
E02000459,39.92785793562708,35.599334073251946,14.6503884572697,4.439511653718091,0.22197558268590456
E02000460,43.92744479495268,32.09779179810725,14.353312302839116,4.534700315457414,0.31545741324921134
E02000461,51.9884309472162,28.778018799710775,9.436008676789589,2.0245842371655822,0.28922631959508316
E02000462,40.74688796680498,36.058091286307054,14.522821576763487,3.1950207468879666,0.33195020746887965
E02000463,43.44234079173838,35.00860585197935,14.974182444061961,3.9242685025817554,0.2065404475043029
E02006795,50.0,34.065934065934066,11.391941391941392,1.3186813186813187,0.03663003663003663
E02006882,46.841762535272416,34.53440416757109,11.938354677664424,2.018667245495984,0.15194269589754722
E02000464,36.53403485695495,33.57448207826373,17.987504110489972,5.787569878329497,0.6576783952647156
E02000465,38.09654415798135,32.06253428414701,18.70543060888645,6.500274273176084,0.4114097641250686
