MSOA21CD,Empty %
E02000203,7.0661896243291595
E02000204,5.532786885245901
E02000206,5.481481481481482
E02000207,6.068601583113456
E02000208,7.368896925858952
E02000209,5.023255813953488
E02000210,3.9843967679019223
E02000211,3.57456782888954
E02000212,5.366985784740354
E02000213,6.03418207185211
E02000214,4.517453798767967
E02000215,6.594383220760753
E02000216,5.523442517662171
E02000217,8.675882138959622
E02000218,4.158173664900122
E02000219,3.92914653784219
E02000221,5.4528212422949265
E02000222,5.947763123868632
E02000223,3.6627505183137528
E02000224,7.152994606869146
E02000225,3.1341107871720117
E02000226,3.202227636616777
E02000227,3.337330135891287
E02000228,2.8109854604200324
E02000229,7.679603633360859
E02000230,8.380251190991771
E02000231,5.462040535898317
E02000232,4.0923824959481365
E02000233,5.148514851485149
E02000234,5.679513184584178
E02000235,3.4532897128316975
E02000236,2.877275396359366
E02000237,4.290220820189274
E02006788,4.5514511873350925
E02006987,9.858172518019066
E02006988,9.29786066922655
E02000238,8.208405013516835
E02000239,5.08749189889825
E02000240,3.4918276374442794
E02000241,3.8817005545286505
E02000242,4.5765611633875105
E02000243,3.6968576709796674
E02000244,4.4227642276422765
E02000245,3.8704128440366974
E02000246,3.5164835164835164
E02000247,3.543990086741016
E02000248,10.699342498505679
E02000249,3.955174686882004
E02000250,3.709311127933384
E02000251,4.43609022556391
E02000252,5.079638398622471
E02000253,3.151790216843167
E02000254,3.9410681399631677
E02000255,3.166496424923391
E02000256,4.910292728989613
E02000258,6.096681096681096
E02000259,3.150242326332795
E02000260,8.169389796598866
E02000261,6.005665722379604
E02000262,8.8894019856846
E02000263,8.276729559748428
E02000264,6.120826709062003
E02000265,5.660753438309746
E02000266,9.838472834067547
E02000267,4.110813226094727
E02000268,5.247670426679745
E02000269,5.595204110762204
E02000270,8.553654743390357
E02000271,5.7314756174794175
E02000272,4.152510381275953
E02000275,12.68129416139829
E02000276,5.285118219749652
E02006791,5.325281361515235
E02006968,7.291666666666667
E02006969,12.752858399296395
E02006970,8.438628158844764
E02006971,6.2025316455696204
E02000277,4.122582998905509
E02000278,4.214449541284404
E02000279,7.241813602015113
E02000280,4.77520245741413
E02000281,6.578947368421052
E02000282,5.142231947483588
E02000283,4.175222450376454
E02000284,5.0144394854292464
E02000285,2.4970273483947683
E02000286,6.560821853840766
E02000287,8.9755788138281
E02000288,4.926108374384237
E02000289,2.3732904263877717
E02000290,7.63302752293578
E02000291,5.768393556813234
E02000292,3.9817056766209307
E02000293,3.1869413136416633
E02000294,3.712948517940718
E02000295,3.402537485582468
E02000296,7.147782119053091
E02000297,3.9524599226091763
E02000298,3.504894221660878
E02000299,7.3981016192071465
E02000300,6.662515566625156
E02000301,8.022710441866206
E02000302,4.184615384615385
E02000303,8.289676425269645
E02000304,4.243421052631579
E02000305,6.853750674581759
E02000306,4.549283909014322
E02000307,4.7578347578347575
E02000308,7.144915010083549
E02000309,6.299952985425482
