MSOA21CD,%_Owned-Outright,%_Own-mortgage,%_Own-Share,%_Social-rent,%_Private-rent,%_Rent-free,Empty %
E02000101,18.582046883933675,16.20926243567753,1.2006861063464835,29.702687249857064,30.960548885077188,0.17152658662092624,3.1732418524871355
E02000102,21.920225908930462,12.566184256971408,3.0356512530885986,21.426050123543945,35.54535827744441,0.1411930815390046,5.365337098482175
E02000103,21.551724137931032,15.93437152391546,2.057842046718576,24.77753058954394,31.70189098998888,0.25027808676307006,3.7263626251390436
E02000104,26.67194301543332,21.44835773644638,2.453502176493866,14.641867827463395,30.273051048674315,0.07914523149980214,4.43213296398892
E02000105,21.574074074074073,20.37037037037037,1.2037037037037037,12.932098765432098,39.783950617283956,0.0925925925925926,4.04320987654321
E02000106,19.41517386722866,12.513171759747102,0.8166491043203371,17.544783983140146,44.072708113804005,0.10537407797681769,5.53213909378293
E02000107,15.805147840884917,14.67772814294831,1.2125079770261646,17.251648585407363,43.65028717294193,0.1914486279514997,7.211231652839821
E02000108,23.516949152542374,25.338983050847457,2.754237288135593,12.669491525423728,32.03389830508475,0.0847457627118644,3.6016949152542375
E02000110,23.010219882316505,18.73645091359554,0.9290802105915144,20.346856611954163,32.672654072468255,0.12387736141220192,4.180860947661815
E02000111,20.940683043738765,18.094667465548234,0.9886159376872379,13.481126423007789,41.88136608747753,0.05991611743559017,4.553624925104853
E02000112,22.469847928683798,13.948610382800208,2.228631358154169,11.116937598321972,41.84583114840063,0.05243838489774515,8.33770319874148
E02000113,9.7179558782463,8.293772689192963,0.9494554593688914,53.504607651494,19.072884669086847,0.30717676626640605,8.154146886344597
E02000114,14.500127194098194,13.253625031798524,1.399135080132282,19.15543118799288,45.78987534978377,0.15263291783261257,5.74917323836174
E02000115,13.013205282112844,14.6218487394958,0.9363745498199281,24.441776710684273,39.87995198079231,0.16806722689075632,6.938775510204081
E02000116,9.889470622454915,9.714950552646888,2.9959278650378125,32.024432809773124,39.15066899360093,0.37812681791739383,5.846422338568935
E02000117,8.785228377065112,10.43731778425656,3.0320699708454812,43.18756073858115,26.919339164237122,0.13605442176870747,7.50242954324587
E02000118,21.251122418437593,22.298712960191562,1.0176593834181382,16.462137084705176,33.373241544447765,0.029931158335827598,5.567195450463933
E02000119,4.518348623853211,10.022935779816514,4.839449541284404,48.69266055045872,22.224770642201836,0.34403669724770647,9.357798165137615
E02000120,12.45436976594374,15.804165771956194,0.6441915396177796,21.709254885119176,40.39080953403479,0.1073652566029633,8.88984324672536
E02000121,20.599054125065685,17.94534944823962,5.044666316342617,13.321071991592223,38.3342091434577,0.05254860746190226,4.7031003678402525
E02000122,24.557190033023115,25.427799459621735,0.990693485439808,17.11197838486941,26.628640048033624,0.15010507355148606,5.133593515460823
E02000123,9.102730819245773,10.89076723016905,1.3654096228868662,31.22561768530559,37.22366710013004,0.21131339401820548,9.980494148244473
E02000124,18.155872667398462,21.031833150384195,0.7464324917672887,18.594950603732162,32.777167947310645,0.02195389681668496,8.67178924259056
E02000125,22.477833692786962,23.4124131320393,0.6230529595015576,19.530313922837287,28.229091780493647,0.14378145219266716,5.583513060148574
