MSOA21CD,%_Owned,%_Social-rent,%_Private-rent
E02000080,73.57395254921757,6.082786471479051,15.295305401312467
E02000081,70.72085434589142,13.794126371996441,12.132898249777515
E02000082,83.93312553131199,2.2669311419665625,10.881269481439501
E02000083,60.99397590361446,17.233218588640277,15.705679862306368
E02000084,81.40877598152426,4.180138568129331,10.854503464203233
E02000085,79.30385700846661,3.8570084666039515,12.51175917215428
E02000086,84.26378227494766,1.57013258897418,10.956036287508724
E02000087,76.73138220805563,4.810199942045784,13.561286583598955
E02000088,84.81967213114754,3.7704918032786887,8.754098360655737
E02000089,83.93036491463006,5.222631402745229,7.733511884834282
E02000090,60.94701240135287,9.447576099210824,22.412626832018038
E02000091,63.07431717128944,13.868304044039807,15.668007622273977
E02000092,52.0099608680185,31.056563500533617,10.95695482034863
E02006785,67.9182156133829,14.312267657992564,12.490706319702602
E02000093,53.2258064516129,9.90783410138249,29.877112135176652
E02000094,48.43158464034613,14.115738236884804,27.82585181179016
E02000095,52.24736048265461,10.889894419306184,32.126696832579185
E02000096,68.15384615384616,4.153846153846154,23.26923076923077
E02000097,54.98084291187739,9.897828863346104,31.57726692209451
E02000098,44.46308724832215,21.57718120805369,29.42953020134228
E02000099,43.30446369087275,13.324450366422386,39.473684210526315
E02000100,64.22610015174507,10.12898330804249,22.19271623672231
E02000101,34.79130931961121,29.702687249857064,30.960548885077188
E02000102,34.48641016590187,21.426050123543945,35.54535827744441
E02000103,37.4860956618465,24.77753058954394,31.70189098998888
E02000104,48.1203007518797,14.641867827463395,30.273051048674315
E02000105,41.94444444444444,12.932098765432098,39.783950617283956
E02000106,31.928345626975762,17.544783983140146,44.072708113804005
E02000107,30.482875983833228,17.251648585407363,43.65028717294193
E02000108,48.85593220338983,12.669491525423728,32.03389830508475
E02000110,41.74667079591205,20.346856611954163,32.672654072468255
E02000111,39.035350509287,13.481126423007789,41.88136608747753
E02000112,36.41845831148401,11.116937598321972,41.84583114840063
E02000113,18.011728567439263,53.504607651494,19.072884669086847
E02000114,27.753752225896715,19.15543118799288,45.78987534978377
E02000115,27.635054021608646,24.441776710684273,39.87995198079231
E02000116,19.604421175101802,32.024432809773124,39.15066899360093
E02000117,19.22254616132167,43.18756073858115,26.919339164237122
E02000118,43.549835378629155,16.462137084705176,33.373241544447765
E02000119,14.541284403669724,48.69266055045872,22.224770642201836
E02000120,28.258535537899938,21.709254885119176,40.39080953403479
E02000121,38.54440357330531,13.321071991592223,38.3342091434577
E02000122,49.98498949264485,17.11197838486941,26.628640048033624
E02000123,19.993498049414825,31.22561768530559,37.22366710013004
E02000124,39.18770581778266,18.594950603732162,32.777167947310645
E02000125,45.890246824826264,19.530313922837287,28.229091780493647
