MSOA21CD,MSOA21NM,Log10-tot,Log10-VSO,Log10-ASB,Log10-Bur,Mixed tenures,Owned & Private,More private rent,More owned,More social rent,Log10-vac,Most deprived,Mixed extremes,Mixed less deprived,Mixed most deprived,Less deprived,Mainly flats,Mainly houses,Mixed types,Log10-price
E02000594,Kensington and Chelsea 018,2.062631066272856,1.230464432172465,1.3987303537161897,0.9756945831894048,0.0,0.0,1.0,0.0,0.0,1.51336013593055,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.229537167595807
E02000595,Kensington and Chelsea 019,2.2693486476572886,1.4402341511342946,1.6691777175152516,1.0420770068223075,0.0,0.0,1.0,0.0,0.0,1.46375093038532,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.271167768036879
E02000596,Kensington and Chelsea 020,2.2191833608507427,1.5921616733838306,1.5752609228456294,1.1419141738362122,0.0,0.0,1.0,0.0,0.0,1.3787032732455051,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.217853973654514
E02000597,Kensington and Chelsea 021,2.113943352306837,1.4679778752797927,1.6989700043360187,0.8399518604471246,0.0,0.0,0.0,0.0,1.0,1.2322970158083286,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.067172987043305
E02000598,Kingston upon Thames 001,1.6187666985912932,1.060910369755384,0.9900545124918904,1.014770058316727,0.0,0.0,0.0,1.0,0.0,0.599525191436219,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.909850599757117
E02000599,Kingston upon Thames 002,1.8143221069098256,1.2942849932412122,1.1228888553939107,1.3513832379138055,0.0,0.0,0.0,1.0,0.0,0.8603262052508505,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.874520374233136
E02000600,Kingston upon Thames 003,1.7856360008269907,1.219651374944308,1.0926095132482438,1.027845901251973,0.0,1.0,0.0,0.0,0.0,0.7199039111716619,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.8520154851652566
E02000601,Kingston upon Thames 004,1.9959394185271264,1.3682916055199812,1.41452089893195,1.0615458980454378,0.0,1.0,0.0,0.0,0.0,0.9166975000050924,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.883693041868587
E02000602,Kingston upon Thames 005,2.0580870005483565,1.4178014139430095,1.5768808595348087,1.2218487496163564,0.0,0.0,1.0,0.0,0.0,0.8783538832716192,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.83415481316722
E02000603,Kingston upon Thames 006,1.842152236322264,1.353252782264079,1.2641081392882756,0.9455004345616528,0.0,1.0,0.0,0.0,0.0,0.5475604258896151,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.8134163525253086
E02000604,Kingston upon Thames 007,2.0170006321593923,1.264429444496966,1.519416323492046,1.1386647611150575,0.0,1.0,0.0,0.0,0.0,0.5984119197652974,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.825882350999082
E02000605,Kingston upon Thames 008,1.6786940483617072,1.0850672245706077,1.204754452428234,1.0348655220191727,0.0,0.0,0.0,1.0,0.0,0.5514953180225087,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.827679047082449
E02000606,Kingston upon Thames 009,2.4507974407485587,1.7208362228909693,1.7838668950770529,1.1177601519811766,0.0,0.0,1.0,0.0,0.0,0.8581228414754204,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.84023186984216
E02000607,Kingston upon Thames 010,1.5958000124898906,0.9969451610371396,1.0156945970499784,0.6528326722601172,0.0,1.0,0.0,0.0,0.0,0.50814987745606,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.8358306599021743
E02000608,Kingston upon Thames 011,2.090519599729184,1.5130079912540433,1.6472070889815476,0.8424827914673881,0.0,0.0,1.0,0.0,0.0,0.7187006320590303,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.8458541248856735
E02000609,Kingston upon Thames 012,1.7916541073854215,1.1849788283937717,1.26601207930299,1.0119949117435898,0.0,0.0,0.0,1.0,0.0,0.4580819327232834,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.7845448129649695
