MSOA21CD,MSOA21NM,Log10-tot,Log10-VSO,Log10-ASB,Log10-Bur
E02000317,Greenwich 005,1.9960130062628765,1.394524831320225,1.469879669514797,1.1546200421037869
E02000318,Greenwich 006,2.1044364364275983,1.531241886587371,1.5714931926867868,1.2670238416964263
E02000319,Greenwich 007,2.0179012184686864,1.509745730009055,1.4528408786725826,1.1172857723797744
E02000320,Greenwich 008,1.8513101161970615,1.332796176319174,1.2466100287028907,0.7812020018882624
E02000321,Greenwich 009,2.080640683446578,1.6049181239194805,1.3451538452847966,0.9984616827255692
E02000323,Greenwich 011,2.011198515494083,1.548040828228978,1.3085831335544271,1.0630264433099128
E02000324,Greenwich 012,1.9189384489160093,1.3293345493667983,1.3592977727442415,0.9042496525191823
E02000326,Greenwich 014,1.9250320089300765,1.4003842409108922,1.317643184097047,1.0412314057292724
E02000327,Greenwich 015,2.304386129628304,1.861259741820908,1.6664911696331113,1.3507536734422576
E02000328,Greenwich 016,1.8167467523957614,1.237367903694457,1.2013227995098175,0.9751040398925149
E02000329,Greenwich 017,1.8059827096931975,1.2592255268321406,1.223833551743299,0.826813731587726
E02000331,Greenwich 019,2.0292825519179867,1.4874097665733408,1.2983535303532918,1.1560668095403157
E02000332,Greenwich 020,1.7572547012283317,1.219793956074997,1.2370988142834676,0.5778480674020586
E02000333,Greenwich 021,1.9825120967603027,1.2792207186416413,1.2492574952641982,1.0736297398367964
E02000334,Greenwich 022,1.9136795058120233,1.363571107040775,1.2163061741638,0.9173778062708173
E02000335,Greenwich 023,1.6087042259672053,0.9491049135304609,1.0517672554276087,0.8036124675747659
E02000337,Greenwich 025,2.0103047488812247,1.5593362127630503,1.2526290842073786,0.9467843169888454
E02000339,Greenwich 027,2.1210345582406207,1.4545779577270974,1.3711038152898374,1.0169216779307089
E02000340,Greenwich 028,2.0111799940733834,1.40429445885613,1.4067139329795428,1.0379690844218352
E02000341,Greenwich 029,2.0227931044471825,1.6004242286337031,1.4364536022538754,0.6585654754218598
E02000342,Greenwich 030,1.9877461489427304,1.5383480379370225,1.4061433686558695,0.9931775404292429
E02000343,Greenwich 031,1.9136157460611636,1.3834756382096982,1.338278889472441,1.059390141831275
E02000344,Greenwich 032,1.8937163609171264,1.2794709555167252,1.3539186998617643,1.1392343277303376
E02000345,Hackney 001,2.1193015482773827,1.3575407140819082,1.6991270066207569,1.2816987966029214
E02000346,Hackney 002,2.016483224070113,1.3712396399660447,1.5666360542171127,0.9202476894625937
E02000347,Hackney 003,1.9930977323327248,1.3260793999262823,1.4725679955936017,1.1771057969351524
E02000348,Hackney 004,2.0084083655904865,1.2938782782138223,1.565237603210583,1.0648007345299608
E02000350,Hackney 006,1.9529177861092393,1.2442963960970397,1.571368193625371,1.1954387177219103
E02000351,Hackney 007,1.9666608116405502,1.2102783060190783,1.4828933668684767,1.153282345035855
E02000352,Hackney 008,2.2314468083668926,1.4705594298237856,1.7064394711960733,1.4363363995863436
E02000353,Hackney 009,2.1351965229089003,1.419274272446198,1.5663048948335925,1.5108956894387415
E02000354,Hackney 010,2.251179351641001,1.5792080917186861,1.7818382119121001,1.406311249147352
E02000355,Hackney 011,2.135012030772777,1.4421268122334818,1.625706092681713,1.3488692627167371
E02000356,Hackney 012,1.917597153864465,1.1940668543728015,1.435975397918126,1.1669591895152094
E02000357,Hackney 013,2.0599918675388973,1.537476700749366,1.4601087954652094,1.2062399738763114
E02000358,Hackney 014,2.2410175486153627,1.542047544279344,1.679736109208378,1.4322945180154527
E02000359,Hackney 015,2.0473064694007737,1.5345524877189003,1.4158627003876016,1.1272611725273312
E02000360,Hackney 016,2.093195155826366,1.4893039833656136,1.5970870269676318,1.070162477162309
E02000361,Hackney 017,2.4092661783346108,1.7033775058804554,1.8400440788557326,1.425754318798707
E02000362,Hackney 018,2.2240010098607503,1.5802537965834136,1.755263375174807,1.2028190496355067
E02000363,Hackney 019,2.217967498332497,1.6674521689656039,1.6374329473311167,1.3477254876301208
E02000364,Hackney 020,2.1533068396460644,1.405644911410321,1.6672101786009461,1.195763181302115
E02000366,Hackney 022,1.9714410544510221,1.2843554715373762,1.3943871618673376,1.0602486284651647
E02000367,Hackney 023,2.32900940728633,1.6016861187775275,1.7371459452483402,1.4789321563869955
E02000368,Hackney 024,2.2969504531956235,1.5931573409335176,1.7997503769896763,1.2244344354153804
E02000369,Hackney 025,2.0889602146201955,1.4115426161482758,1.482936449364744,1.2581423194188048
E02000370,Hackney 026,2.261486161667119,1.4873748890852154,1.834162375309872,1.3420880411182283
E02000372,Hammersmith and Fulham 001,2.293481437513826,1.6568806364827282,1.7411451239641402,1.2786537746147493
E02000373,Hammersmith and Fulham 002,2.052899749272349,1.4414760392387547,1.6371628543578167,0.9745302809389442
E02000374,Hammersmith and Fulham 003,2.1082679918684395,1.4888040611807554,1.4968467814361692,1.391846192271093
E02000375,Hammersmith and Fulham 004,2.6157176369203454,1.9092290363319044,1.8718955404303759,1.3219639024996241
E02000376,Hammersmith and Fulham 005,2.2769056021926657,1.5425144492723184,1.861794797508593,1.1741653380196428
E02000377,Hammersmith and Fulham 006,2.0732357797032974,1.464974883180677,1.5894329396271194,1.000891775430185
E02000378,Hammersmith and Fulham 007,2.0634644331294387,1.4134808894842936,1.4747505462232162,1.172513238921137
E02000379,Hammersmith and Fulham 008,1.9103647715268484,1.1601520579542335,1.2830566246520803,1.2528472404254047
E02000380,Hammersmith and Fulham 009,2.041767726649607,1.3675427078152758,1.4814860601221125,1.2404092330427403
E02000381,Hammersmith and Fulham 010,2.023972859688256,1.4010451498173797,1.4121530310711372,1.0780482417020267
E02000382,Hammersmith and Fulham 011,2.176628044629769,1.4145042396802763,1.5968444480129589,1.240263497578521
E02000383,Hammersmith and Fulham 012,2.0707353073084245,1.427457362058512,1.554791551413416,1.0434402971855505
