msoa21cd,price,Log10-price
E02000384,9645.885267229685,3.984342091910415
E02000385,9721.48508932832,3.987732614394817
E02000386,9422.607602122567,3.974171105605988
E02000387,9289.357059110174,3.967985656367873
E02000388,10517.447869954469,4.021910368100755
E02000389,9488.418810100646,3.9771938458032245
E02000390,10323.069541604684,4.013808852985604
E02000391,11560.841374737654,4.0629894423119115
E02000392,11384.745477511107,4.05632332577698
E02000393,10836.81458011051,4.034901642572902
E02000394,10066.863144468418,4.00289416456786
E02000395,10716.227856422844,4.0300419393272735
E02000396,9928.02611282321,3.996862910779162
E02000397,6498.461298698,3.812810536859418
E02000398,5384.599147885777,3.7311533781370607
E02000400,7139.662196073717,3.853677664177896
E02000401,5949.072215816102,3.7744492408597576
E02000402,5569.570638451203,3.7458217164414638
E02000403,6523.443763656058,3.8144769228352002
E02000404,6108.826746718631,3.785957808220723
E02000405,8541.989864628615,3.9315590517854346
E02000406,6841.7893791720335,3.835169700531403
E02000407,5597.146646918445,3.7479666857012877
E02000408,5600.020809355971,3.748189640822572
E02000409,6169.931897670257,3.79028037041424
E02000410,8372.50555818239,3.922855444523298
E02000411,6047.53515270891,3.7815784014792473
E02000412,7734.50092957533,3.8884322959896105
E02000413,8570.838697514107,3.9330233217925548
E02000414,6522.412877285729,3.8144082867501417
E02000415,6600.5461499867115,3.8195798719225245
E02000416,7614.5341375689795,3.8816433380499897
E02000417,8658.640922782168,3.937449729655181
E02000418,9052.265879567181,3.956757301395494
E02000419,7252.121783065274,3.8604650884832
E02000420,6982.941224817378,3.8440383866142787
E02000421,5993.894009487981,3.777709059013115
E02000422,6880.811357118361,3.837639651483135
E02000423,7129.243725732892,3.853043462087314
E02000424,8493.3441119714,3.9290787200935795
E02000425,6919.585185633787,3.8400800602096474
E02000426,9705.179732032666,3.9870035825793257
E02000427,7338.4965356809935,3.8656070935484075
E02000428,7049.521033767135,3.848159610685258
E02000429,9034.0893777754,3.9558843828915973
E02000430,8385.120593707192,3.923509312953431
E02000431,9814.50044066256,3.99186819885349
E02000432,9174.136461735889,3.962565195806659
E02000433,6375.261342520485,3.804497992602172
E02000434,6577.515689055017,3.8180618926622474
E02000435,6081.116989456195,3.7839833585165255
E02000436,6381.439083546367,3.8049186278696467
E02000437,5605.621667880411,3.7486237832037133
E02000438,5798.036341440661,3.76328093313655
E02000439,5778.311323299989,3.7618009370147374
