MSOA21CD,MSOA21NM,Dist-Westminster018
E02000286,Enfield 010,17.07879341
E02000287,Enfield 011,17.37938455
E02000288,Enfield 012,16.92541555
E02000289,Enfield 013,16.29663922
E02000290,Enfield 014,17.55328853
E02000291,Enfield 015,15.90821676
E02000292,Enfield 016,16.09054638
E02000293,Enfield 017,15.39309912
E02000294,Enfield 018,15.8521317
E02000295,Enfield 019,14.66125743
E02000296,Enfield 020,14.89179674
E02000297,Enfield 021,14.67374503
E02000298,Enfield 022,14.10014386
E02000299,Enfield 023,14.88403007
E02000300,Enfield 024,14.51595619
E02000301,Enfield 025,14.85783552
E02000302,Enfield 026,13.36489141
E02000303,Enfield 027,13.50097864
E02000304,Enfield 028,12.84399638
E02000305,Enfield 029,12.86898576
E02000306,Enfield 030,13.6380666
E02000307,Enfield 031,12.96585575
E02000308,Enfield 032,11.96547911
E02000309,Enfield 033,12.82004341
E02000311,Enfield 035,11.96184399
E02000312,Enfield 036,11.82564486
E02000313,Greenwich 001,17.20268109
E02000314,Greenwich 002,16.04829005
E02000315,Greenwich 003,17.15376567
E02000317,Greenwich 005,12.96188941
E02000318,Greenwich 006,16.02805032
E02000319,Greenwich 007,15.13259177
E02000320,Greenwich 008,17.37870436
E02000321,Greenwich 009,14.82208704
E02000323,Greenwich 011,14.37449266
E02000324,Greenwich 012,12.36009627
E02000326,Greenwich 014,11.49957537
E02000327,Greenwich 015,13.58438877
E02000328,Greenwich 016,10.64580194
E02000329,Greenwich 017,15.55626684
E02000331,Greenwich 019,12.52027098
E02000332,Greenwich 020,14.55122365
E02000333,Greenwich 021,11.31876926
E02000334,Greenwich 022,12.73858506
E02000335,Greenwich 023,14.59051171
E02000337,Greenwich 025,13.35241931
E02000339,Greenwich 027,14.52555912
E02000340,Greenwich 028,15.28936772
E02000341,Greenwich 029,13.51312949
E02000342,Greenwich 030,16.32184752
E02000343,Greenwich 031,15.29358609
E02000344,Greenwich 032,16.16517115
E02000345,Hackney 001,8.588021544
E02000346,Hackney 002,7.590549854
E02000347,Hackney 003,7.797684726
E02000348,Hackney 004,8.299550411
E02000350,Hackney 006,7.723959175
E02000351,Hackney 007,6.767759815
E02000352,Hackney 008,6.93629028
E02000353,Hackney 009,7.151024783
E02000354,Hackney 010,7.375957883
E02000355,Hackney 011,7.899793862
E02000356,Hackney 012,6.285889785
E02000357,Hackney 013,8.842946011
E02000358,Hackney 014,6.522445966
E02000359,Hackney 015,8.077479684
E02000360,Hackney 016,6.757835962
E02000361,Hackney 017,6.995032183
E02000362,Hackney 018,8.518190466
E02000363,Hackney 019,7.390086536
E02000364,Hackney 020,6.13634136
E02000366,Hackney 022,7.170839834
E02000367,Hackney 023,6.348491121
E02000368,Hackney 024,5.501652071
E02000369,Hackney 025,4.8623499
E02000370,Hackney 026,4.043767797
E02000372,Hammersmith and Fulham 001,7.435154065
E02000373,Hammersmith and Fulham 002,7.091181581
E02000374,Hammersmith and Fulham 003,7.555245228
E02000375,Hammersmith and Fulham 004,6.343620004
E02000376,Hammersmith and Fulham 005,6.772099316
E02000377,Hammersmith and Fulham 006,7.441042994
E02000378,Hammersmith and Fulham 007,6.122016393
E02000379,Hammersmith and Fulham 008,7.884002831
E02000380,Hammersmith and Fulham 009,6.849888676
E02000381,Hammersmith and Fulham 010,6.054085327
E02000382,Hammersmith and Fulham 011,7.546376575
E02000383,Hammersmith and Fulham 012,5.646342111
E02000384,Hammersmith and Fulham 013,6.755106887
E02000385,Hammersmith and Fulham 014,5.901845649
E02000386,Hammersmith and Fulham 015,5.414966535
E02000387,Hammersmith and Fulham 016,6.275097129
E02000388,Hammersmith and Fulham 017,5.310739005
E02000389,Hammersmith and Fulham 018,6.872826377
E02000390,Hammersmith and Fulham 019,6.117572076
E02000391,Hammersmith and Fulham 020,5.389729905
E02000392,Hammersmith and Fulham 021,5.992432615
E02000393,Hammersmith and Fulham 022,6.532755657
E02000394,Hammersmith and Fulham 023,5.305465828
E02000395,Hammersmith and Fulham 024,6.799869437
E02000396,Hammersmith and Fulham 025,6.088862381
E02000397,Haringey 001,10.92124678
E02000398,Haringey 002,12.02826763
E02000400,Haringey 004,10.82348194
E02000401,Haringey 005,11.10811488
E02000402,Haringey 006,11.22862107
E02000403,Haringey 007,10.73199043
E02000404,Haringey 008,10.65363785
E02000405,Haringey 009,9.946270457
E02000406,Haringey 010,10.09301261
E02000407,Haringey 011,10.54963567
E02000408,Haringey 012,10.76518797
E02000409,Haringey 013,10.11216651
E02000410,Haringey 014,9.723113764
E02000411,Haringey 015,10.84258577
E02000412,Haringey 016,9.636597709
E02000413,Haringey 017,9.705915966
E02000414,Haringey 018,9.976371816
E02000415,Haringey 019,9.566225583
E02000416,Haringey 020,8.96097195
E02000417,Haringey 021,8.782025813
E02000418,Haringey 022,8.728601654
E02000419,Haringey 023,8.884292284
E02000420,Haringey 024,9.426694916
E02000421,Haringey 025,9.690745575
E02000422,Haringey 026,8.942903782
E02000423,Haringey 027,8.627549143
E02000424,Haringey 028,8.258056577
E02000425,Haringey 029,9.103839865
E02000426,Haringey 030,8.05118211
E02000427,Haringey 031,7.720295918
E02000428,Haringey 032,8.402072387
E02000429,Haringey 033,7.807344506
E02000430,Haringey 034,7.742735321
E02000431,Haringey 035,7.293261143
E02000432,Haringey 036,7.382670632
E02000433,Harrow 001,18.38570997
E02000434,Harrow 002,16.09668943
E02000435,Harrow 003,17.46619208
E02000436,Harrow 004,19.81345507
E02000437,Harrow 005,18.05223686
E02000438,Harrow 006,19.50355002
E02000439,Harrow 007,14.8101933
E02000440,Harrow 008,16.43693646
E02000441,Harrow 009,21.10058197
E02000442,Harrow 010,14.75902736
E02000443,Harrow 011,17.56004105
E02000444,Harrow 012,15.42555543
E02000445,Harrow 013,16.76837962
E02000447,Harrow 015,18.50269852
E02000448,Harrow 016,19.77654547
E02000449,Harrow 017,14.3878907
E02000451,Harrow 019,18.69244587
E02000452,Harrow 020,16.80535173
E02000453,Harrow 021,17.39905064
E02000454,Harrow 022,19.36503301
E02000455,Harrow 023,15.95199713
E02000456,Harrow 024,17.2606137
E02000457,Harrow 025,18.06800674
E02000459,Harrow 027,16.62423781
E02000460,Harrow 028,17.61110576
E02000461,Harrow 029,15.60220512
E02000462,Harrow 030,16.78125979
E02000463,Harrow 031,17.69533811
E02000464,Havering 001,27.5931229
E02000465,Havering 002,28.26988182
E02000466,Havering 003,24.93131646
E02000467,Havering 004,26.65101858
E02000468,Havering 005,23.1102345
E02000469,Havering 006,25.57518281
E02000470,Havering 007,28.08850622
E02000471,Havering 008,24.04869966
E02000472,Havering 009,22.99738862
E02000473,Havering 010,26.59491887
E02000474,Havering 011,22.11424881
E02000475,Havering 012,24.92056565
E02000476,Havering 013,23.27936656
E02000477,Havering 014,24.61847815
E02000478,Havering 015,26.29659674
E02000479,Havering 016,23.55701354
E02000480,Havering 017,21.76820325
E02000481,Havering 018,30.10359694
E02000482,Havering 019,27.76180605
E02000483,Havering 020,25.15186117
E02000484,Havering 021,23.63419296
E02000485,Havering 022,26.33404577
E02000486,Havering 023,24.25905678
E02000487,Havering 024,27.19845008
E02000488,Havering 025,24.51389006
E02000489,Havering 026,23.12594722
E02000490,Havering 027,22.95621142
E02000491,Havering 028,21.47819666
E02000492,Havering 029,23.70104937
E02000493,Havering 030,23.11967732
