MSOA 2021 Code,Total
E02000798,11370
E02000799,6658
E02000800,5467
E02000801,7074
E02000802,7021
E02000803,9790
E02000804,7119
E02000805,10687
E02000806,10266
E02000807,8098
E02000808,10181
E02000810,11757
E02000812,10825
E02000813,10226
E02000814,10233
E02000815,7510
E02000816,9561
E02000817,6892
E02000818,9689
E02000819,8514
E02000820,9140
E02000821,9341
E02000822,6704
E02000823,8609
E02000824,9946
E02000825,10257
E02000826,9894
E02000827,11292
E02000828,8795
E02000829,10947
E02000830,8965
E02000831,9296
E02000832,9733
E02000833,7460
E02000834,9247
E02000835,7630
E02000836,8309
E02000837,8607
E02000838,9545
E02000839,8540
E02006802,9261
E02006941,5152
E02006942,6606
E02000840,9259
E02000841,9173
E02000842,8359
E02000843,9395
E02000844,8695
E02000845,9434
E02000846,7674
E02000847,9446
E02000848,8220
E02000849,8168
E02000850,10867
E02000851,11472
E02000852,8148
E02000853,8087
E02000854,7586
E02000855,8204
E02000856,9380
E02000857,8993
E02000858,8661
E02000859,8566
E02000860,8751
E02000861,7702
E02000863,6739
E02006836,8638
E02000864,11405
E02000865,8042
E02000866,10876
E02000867,11396
E02000868,7286
E02000869,6051
E02000870,6398
E02000871,11580
E02000872,8079
E02000873,10000
E02000874,7594
E02000875,13724
E02000876,7291
E02000877,13821
E02000878,10581
E02000879,8572
E02000880,6542
E02000881,10875
E02000882,11646
E02000883,9457
E02000884,12874
E02000885,7209
E02000886,9622
E02000887,10773
E02000888,8602
E02000889,9048
E02000890,5880
E02000893,7579
E02000894,11057
E02006853,11004
E02006854,7037
E02007112,5828
E02007113,7457
E02007114,7529
E02000895,8455
E02000896,9396
E02000897,8648
E02000898,8014
E02000899,8875
E02000900,9031
E02000901,10525
E02000902,9977
E02000903,10263
E02000904,8496
E02000905,10408
E02000906,9716
E02000907,10600
E02000908,12807
E02000909,9306
E02000910,11394
E02000911,12922
E02000912,9730
E02000913,9651
E02000914,11718
E02000915,8078
E02000916,10504
E02000917,9443
E02000918,9190
E02000919,9224
E02000920,10297
E02000921,11139
E02000922,10340
E02000923,7569
E02000925,8003
E02000926,11653
E02000927,7106
E02000928,8338
E02000929,8173
E02000930,10118
E02000931,8884
E02000932,12864
E02000933,8901
E02000934,8944
E02000935,7424
E02000936,9403
E02000937,8105
E02000938,10923
E02000939,7816
E02000940,9340
E02000941,10171
E02000942,9670
E02000943,8777
E02000944,7632
E02000945,7891
E02000946,8498
E02000947,9328
E02000948,10050
E02000949,10080
E02000950,7540
E02000951,6448
E02000952,6107
E02000953,7431
E02000954,6216
E02000955,6869
E02000956,7396
E02000957,10929
E02000958,8438
E02000959,7861
E02007083,7660
E02007084,9873
E02000960,6265
E02000961,9856
E02000962,7789
E02000963,10552
E02000964,12189
E02000965,7890
E02000966,9320
E02000967,6092
E02000968,14573
E02000969,9711
E02000970,6876
E02000971,7562
E02000972,7948
E02000973,9996
E02000974,8738
E02000975,7460
E02000976,8395
E02000977,6507
E02000978,7311
E02000979,8124
E02000980,8761
E02000981,8375
E02000982,7704
E02000983,7765
